0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/colors.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/slicknav.min.js HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/owl-carousel.js HTTP/1.1" 200 54553
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/finalcountdown.min.js HTTP/1.1" 200 5391
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/magnific-popup.js HTTP/1.1" 200 33466
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/images/logo.png HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/fonts/themify.woff HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/flex-slider.js HTTP/1.1" 200 16124
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/scrollup.js HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/onepage-nav.min.js HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/nicesellect.js HTTP/1.1" 200 144110
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/easing.js HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/active.js HTTP/1.1" 200 8646
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/images/logo2.png HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/images/payments.png HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/images/favicon.png HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/index.jsp HTTP/1.1" 200 35027
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:23 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/reset.css HTTP/1.1" 200 36950
